iter	Passed	Remaining
0	165	165645
1	168	84233
2	170	56815
3	173	43162
4	175	34938
5	178	29647
6	181	25803
7	184	22910
8	187	20651
9	189	18748
10	194	17487
11	197	16276
12	199	15168
13	203	14310
14	206	13575
15	208	12844
16	211	12219
17	213	11657
18	216	11183
19	219	10735
20	221	10307
21	222	9911
22	224	9539
23	226	9204
24	228	8923
25	230	8643
26	232	8391
27	234	8148
28	236	7911
29	237	7691
30	239	7487
31	241	7310
32	243	7148
33	246	6992
34	249	6890
35	251	6747
36	253	6609
37	255	6473
38	257	6356
39	262	6303
40	264	6195
41	266	6081
42	268	5978
43	272	5914
44	273	5809
45	275	5715
46	277	5618
47	278	5524
48	280	5444
49	283	5395
50	286	5323
51	287	5244
52	289	5167
53	290	5092
54	292	5022
55	293	4954
56	298	4930
57	299	4866
58	301	4804
59	302	4743
60	304	4689
61	306	4632
62	308	4586
63	311	4562
64	313	4512
65	315	4462
66	316	4410
67	317	4353
68	319	4315
69	321	4270
70	324	4242
71	326	4204
72	327	4164
73	330	4137
74	332	4098
75	334	4065
76	337	4049
77	340	4020
78	342	3998
79	344	3965
80	351	3989
81	354	3972
82	356	3943
83	359	3915
84	362	3905
85	365	3883
86	366	3848
87	368	3822
88	370	3791
89	371	3759
90	374	3737
91	377	3721
92	378	3695
93	380	3668
94	381	3638
95	383	3614
96	386	3598
97	389	3583
98	391	3561
99	392	3535
100	394	3511
101	395	3480
102	397	3459
103	400	3449
104	402	3434
105	405	3416
106	406	3393
107	407	3369
108	409	3346
109	413	3341
110	415	3328
111	417	3310
112	419	3289
113	420	3269
114	422	3250
115	423	3230
116	427	3223
117	429	3212
118	431	3194
119	433	3181
120	435	3166
121	443	3188
122	444	3170
123	447	3160
124	449	3145
125	451	3130
126	454	3122
127	455	3104
128	457	3089
129	459	3074
130	460	3058
131	462	3043
132	464	3029
133	466	3012
134	467	2998
135	469	2981
136	471	2967
137	472	2951
138	474	2936
139	475	2923
140	478	2917
141	480	2904
142	482	2889
143	483	2876
144	485	2863
145	487	2852
146	491	2854
147	493	2842
148	495	2830
149	497	2821
150	499	2810
151	503	2808
152	507	2807
153	509	2799
154	511	2786
155	513	2777
156	514	2765
157	519	2768
158	521	2756
159	524	2751
160	535	2791
161	538	2783
162	540	2776
163	542	2765
164	544	2756
165	547	2752
166	551	2751
167	553	2740
168	555	2729
169	557	2722
170	559	2711
171	561	2703
172	567	2714
173	570	2708
174	572	2697
175	573	2685
176	575	2676
177	579	2676
178	581	2668
179	583	2656
180	583	2641
181	585	2632
182	587	2623
183	589	2613
184	591	2607
185	595	2604
186	597	2597
187	599	2588
188	600	2578
189	604	2575
190	607	2571
191	608	2562
192	610	2552
193	611	2542
194	614	2535
195	615	2525
196	617	2517
197	621	2515
198	622	2507
199	624	2497
200	626	2488
201	627	2479
202	629	2470
203	630	2461
204	637	2473
205	639	2465
206	641	2457
207	644	2452
208	646	2447
209	649	2444
210	651	2435
211	652	2426
212	654	2418
213	656	2410
214	657	2402
215	660	2398
216	664	2396
217	665	2388
218	667	2379
219	668	2371
220	670	2363
221	672	2356
222	675	2353
223	677	2348
224	679	2339
225	681	2333
226	683	2327
227	684	2318
228	687	2314
229	690	2310
230	691	2303
231	693	2296
232	695	2289
233	696	2281
234	698	2274
235	701	2272
236	704	2268
237	706	2260
238	707	2253
239	709	2245
240	711	2239
241	712	2231
242	715	2229
243	717	2223
244	719	2216
245	720	2209
246	722	2203
247	724	2195
248	725	2188
249	727	2183
250	730	2180
251	732	2174
252	734	2167
253	735	2161
254	738	2157
255	739	2150
256	743	2150
257	745	2144
258	747	2137
259	748	2131
260	750	2125
261	752	2118
262	754	2114
263	757	2111
264	759	2105
265	761	2100
266	762	2093
267	764	2087
268	765	2081
269	769	2079
270	770	2073
271	772	2067
272	773	2060
273	775	2054
274	777	2049
275	778	2043
276	782	2041
277	784	2036
278	785	2030
279	787	2025
280	789	2019
281	791	2014
282	792	2007
283	795	2005
284	797	2001
285	799	1995
286	800	1989
287	802	1983
288	804	1978
289	805	1972
290	808	1970
291	810	1965
292	812	1960
293	813	1954
294	815	1949
295	817	1943
296	818	1937
297	820	1933
298	823	1929
299	824	1924
300	826	1919
301	828	1914
302	829	1908
303	831	1903
304	834	1901
305	837	1899
306	839	1894
307	841	1891
308	844	1887
309	848	1889
310	851	1886
311	853	1883
312	856	1878
313	858	1875
314	862	1875
315	864	1871
316	866	1867
317	869	1864
318	873	1864
319	875	1860
320	877	1856
321	879	1851
322	881	1846
323	887	1850
324	889	1846
325	891	1842
326	893	1839
327	896	1836
328	899	1835
329	901	1831
330	903	1826
331	905	1821
332	907	1818
333	912	1819
334	916	1819
335	918	1814
336	920	1810
337	925	1813
338	929	1812
339	932	1809
340	934	1806
341	937	1803
342	940	1800
343	942	1797
344	945	1794
345	947	1790
346	954	1796
347	957	1793
348	959	1790
349	963	1789
350	965	1786
351	972	1790
352	975	1788
353	981	1790
354	984	1788
